iter	RMSE
149	4.786095817
150	4.784376258
151	4.781120057
152	4.774601405
153	4.76794172
154	4.764014928
155	4.759147995
156	4.753334372
157	4.747029324
158	4.743924435
159	4.738998434
160	4.737259414
161	4.733727827
162	4.72623706
163	4.722644791
164	4.719451822
165	4.715121835
166	4.710825485
167	4.704297312
168	4.696269361
169	4.691948031
170	4.688101602
171	4.686713079
172	4.683505161
173	4.680125139
174	4.676922599
175	4.672615203
176	4.67055474
177	4.667231989
178	4.663459136
179	4.659522634
180	4.655005447
181	4.648337252
182	4.643395739
183	4.640483884
184	4.636935885
185	4.633816428
186	4.63152792
187	4.629685084
188	4.626785841
189	4.620812926
190	4.613184256
191	4.610413231
192	4.604509952
193	4.599963693
194	4.593356982
195	4.589644522
196	4.585410624
197	4.582990301
198	4.575760649
199	4.566716793
200	4.560119451
201	4.556779633
202	4.55293038
203	4.550553331
204	4.546677316
205	4.542774037
206	4.540763337
207	4.536869047
208	4.532497688
209	4.530345198
210	4.52426877
211	4.520559681
212	4.518918908
213	4.516368248
214	4.512747323
215	4.510703134
216	4.505535975
217	4.502889389
218	4.499900145
219	4.496474083
220	4.490927122
221	4.490289599
222	4.483645373
223	4.479847129
224	4.475625585
225	4.47196016
226	4.466700637
227	4.465080889
228	4.460969713
229	4.459378441
230	4.457846976
231	4.45705165
232	4.452430344
233	4.449748843
234	4.448682759
235	4.445638731
236	4.439964246
237	4.438528313
238	4.437211974
239	4.432430465
240	4.431221768
241	4.426589743
242	4.420191149
243	4.412664332
244	4.408936741
245	4.407416359
246	4.401438941
247	4.39677341
248	4.394566704
249	4.389415423
250	4.388923923
251	4.387887307
252	4.386046921
253	4.384931784
254	4.379699477
255	4.378281762
256	4.374316924
257	4.370967
258	4.367714771
259	4.36657629
260	4.360936424
261	4.359266792
262	4.35846444
263	4.356210619
264	4.352513114
265	4.345521971
266	4.343057215
267	4.340105202
268	4.33978854
269	4.336213925
270	4.333933245
271	4.327893545
272	4.323492481
273	4.322145074
274	4.319107441
275	4.317946315
276	4.312156445
277	4.308102268
278	4.303722605
279	4.298459543
280	4.292533347
281	4.290036069
282	4.285476951
283	4.279904997
284	4.276253916
285	4.269035532
286	4.263912543
287	4.25833043
288	4.257379221
289	4.251749061
290	4.251181474
291	4.248163677
292	4.246783559
293	4.243967606
294	4.24079287
295	4.236206311
296	4.234533416
297	4.234136695
298	4.232663089
299	4.23225829
300	4.226590667
301	4.224038111
302	4.221030448
303	4.219954194
304	4.217940969
305	4.215386885
306	4.213602937
307	4.207403817
308	4.200920756
309	4.199149777
310	4.197236927
311	4.192042055
312	4.188330937
313	4.183428501
314	4.180425793
315	4.175947559
316	4.170413259
317	4.163842924
318	4.158773124
319	4.155103269
320	4.15106859
321	4.145539208
322	4.144610335
323	4.140423428
324	4.136575459
325	4.135596237
326	4.133233787
327	4.127969869
328	4.121543753
329	4.118646154
330	4.113130027
331	4.108317425
332	4.106041131
333	4.105378649
334	4.099626812
335	4.096445622
336	4.093890188
337	4.091797661
338	4.086511992
339	4.084548389
340	4.079193063
341	4.074973081
342	4.070426244
343	4.068919907
344	4.063557628
345	4.060037336
346	4.055491427
347	4.054741922
348	4.053143742
349	4.050477011
350	4.044345768
351	4.040877925
352	4.037402216
353	4.03260517
354	4.028099974
355	4.027389855
356	4.023108276
357	4.017252043
358	4.015147944
359	4.014193642
360	4.009833033
361	4.005634268
362	4.005270769
363	4.000998107
364	3.997661264
365	3.995083014
366	3.988692007
367	3.985859367
368	3.982863628
369	3.97827523
370	3.977413401
371	3.974799943
372	3.970279305
373	3.967686339
374	3.965147194
375	3.960060995
376	3.959485733
377	3.956167495
378	3.950015
379	3.949682774
380	3.947576179
381	3.944873736
382	3.94102849
383	3.939695464
384	3.934831797
385	3.930411818
386	3.925571988
387	3.923001225
388	3.922680579
389	3.918947641
390	3.916979478
391	3.912679716
392	3.909506294
393	3.904902964
394	3.899649563
395	3.898984248
396	3.895192135
397	3.894932298
398	3.892209758
399	3.890417474
400	3.886306162
401	3.884833429
402	3.880162018
403	3.876712647
404	3.871848573
405	3.867404435
406	3.86348129
407	3.859762038
408	3.854758667
409	3.851940646
410	3.850198694
411	3.849940469
412	3.84551143
413	3.841373975
414	3.838153644
415	3.833609437
416	3.830483469
417	3.82547488
418	3.822896853
419	3.821663286
420	3.817542813
421	3.813567552
422	3.809856606
423	3.807696593
424	3.801960024
425	3.797875497
426	3.796784218
427	3.790504674
428	3.788759035
429	3.786827807
430	3.786106729
431	3.782560718
432	3.781500984
433	3.779082805
434	3.774596632
435	3.77145831
436	3.770274138
437	3.766515776
438	3.76490937
439	3.761761577
440	3.75682723
441	3.753104784
442	3.751364214
443	3.74821908
444	3.744544874
445	3.740221742
446	3.738597731
447	3.738261926
448	3.736168491
449	3.733291661
450	3.728580474
451	3.724959866
452	3.722317627
453	3.719455768
454	3.716220645
455	3.709363836
456	3.708426502
457	3.704217865
458	3.701138289
459	3.696580518
460	3.693323331
461	3.689037121
462	3.686016993
463	3.685138612
464	3.683295802
465	3.682373733
466	3.678880759
467	3.675779539
468	3.674622507
469	3.673952954
470	3.672043304
471	3.671413135
472	3.670873631
473	3.670668045
474	3.6704766
475	3.666341249
476	3.664498458
477	3.661391387
478	3.656283286
479	3.654793959
480	3.652003879
481	3.65043566
482	3.648284747
483	3.644100894
484	3.640430883
485	3.638311292
486	3.636611563
487	3.632682104
488	3.629772412
489	3.62936773
490	3.628977867
491	3.626606495
492	3.62187738
493	3.615612259
494	3.612918905
495	3.61146481
496	3.605505739
497	3.601811253
498	3.600741651
499	3.59722097
500	3.597034975
501	3.594730106
502	3.593520177
503	3.590508187
504	3.588235695
505	3.582292826
506	3.58180871
507	3.578272787
508	3.577788665
509	3.574603652
510	3.574419032
511	3.572542867
512	3.568560486
513	3.568361735
514	3.564310794
515	3.562524757
516	3.560721278
517	3.558132267
518	3.553297798
519	3.548040524
520	3.544420237
521	3.543199236
522	3.540016104
523	3.537640948
524	3.535123127
525	3.532885503
526	3.532538156
527	3.5293643
528	3.52813781
529	3.526244674
530	3.523907057
531	3.521123331
532	3.518752355
533	3.516434738
534	3.512637838
535	3.509899326
536	3.509735749
537	3.505517292
538	3.503304909
539	3.501805587
540	3.498871117
541	3.496018266
542	3.493537825
543	3.491382894
544	3.48756175
545	3.485523232
546	3.482609155
547	3.478969388
548	3.476511488
549	3.473705198
550	3.468363611
551	3.466496761
552	3.463608519
553	3.463181263
554	3.463053629
555	3.460551709
556	3.457864056
557	3.457485714
558	3.455143229
559	3.451155129
560	3.449245251
561	3.444586466
562	3.44220798
563	3.438375295
564	3.438144708
565	3.435068915
566	3.434148912
567	3.430138319
568	3.428513345
569	3.424095562
570	3.4214375
571	3.419493677
572	3.415073914
573	3.414900097
574	3.412598553
575	3.410434407
576	3.406811806
577	3.405303164
578	3.40177936
579	3.400515698
580	3.396038308
581	3.394483342
582	3.392591264
583	3.390133846
584	3.386464198
585	3.381246978
586	3.378820461
587	3.375970284
588	3.371408647
589	3.368930835
590	3.368660374
591	3.366620011
592	3.365180291
593	3.36472719
594	3.362416089
595	3.360836826
596	3.357425853
597	3.35457272
598	3.352022549
599	3.349739394
600	3.345955036
601	3.343743184
602	3.340918527
603	3.336649515
604	3.333529795
605	3.329153136
606	3.325509138
607	3.325217634
608	3.323955897
609	3.322459859
610	3.320953504
611	3.320687671
612	3.317996989
613	3.31692827
614	3.315434142
615	3.312502383
616	3.312386899
617	3.309213337
618	3.307438592
619	3.304130432
620	3.303876784
621	3.303026174
622	3.302616639
623	3.299095104
624	3.29721647
625	3.295579315
626	3.293233175
627	3.292914216
628	3.291475186
629	3.290252231
630	3.288468027
631	3.288308542
632	3.286150082
633	3.285803091
634	3.285699434
635	3.284725694
636	3.281347828
637	3.279431843
638	3.276204828
639	3.273589955
640	3.271785701
641	3.271575019
642	3.271305494
643	3.270092387
644	3.26895992
645	3.264691395
646	3.262385746
647	3.261094647
648	3.259070383
649	3.25629763
650	3.253307878
651	3.250702647
652	3.248581889
653	3.246223206
654	3.24546099
655	3.243876155
656	3.241899651
657	3.239807589
658	3.239573042
659	3.235787299
660	3.233660376
661	3.231377269
662	3.229904888
663	3.226682112
664	3.226390811
665	3.225310727
666	3.223569972
667	3.220667701
668	3.218241672
669	3.216464002
670	3.215353439
671	3.214949285
672	3.213437915
673	3.209633168
674	3.208040583
675	3.20594173
676	3.203453937
677	3.202269702
678	3.198305471
679	3.196688395
680	3.1951188
681	3.192875645
682	3.19277753
683	3.19258051
684	3.190121892
685	3.189681053
686	3.189538676
687	3.188933801
688	3.187111582
689	3.185265727
690	3.18278119
691	3.180364493
692	3.178387064
693	3.174929696
694	3.171847686
695	3.171703217
696	3.169571032
697	3.167638462
698	3.165002604
699	3.163312767
700	3.161917483
701	3.160112936
702	3.15671731
703	3.154578612
704	3.154037347
705	3.152248757
706	3.149775798
707	3.148387869
708	3.144489239
709	3.141717509
710	3.140352604
711	3.138758655
712	3.136316684
713	3.135161339
714	3.134786255
715	3.13335391
716	3.131182765
717	3.127614404
718	3.125022306
719	3.123824804
720	3.121902827
721	3.118384947
722	3.118216259
723	3.116566274
724	3.11419157
725	3.112655366
726	3.110363167
727	3.108261505
728	3.107241022
729	3.105834465
730	3.104190206
731	3.103068647
732	3.101212117
733	3.100484004
734	3.097005645
735	3.096914148
736	3.095125219
737	3.092700318
738	3.090239234
739	3.089289627
740	3.088118131
741	3.086285684
742	3.084541236
743	3.081527526
744	3.079586746
745	3.079102416
746	3.077793533
747	3.076588772
748	3.074334966
749	3.072050885
750	3.068871201
751	3.067744797
752	3.066417822
753	3.063347838
754	3.059859921
755	3.05816686
756	3.056758574
757	3.053807539
758	3.051549081
759	3.050959748
760	3.050596171
761	3.04937852
762	3.04784341
763	3.045508584
764	3.04271586
765	3.041115001
766	3.039665864
767	3.036313248
768	3.034743731
769	3.033487619
770	3.031382536
771	3.029362291
772	3.028884987
773	3.027474608
774	3.027171613
775	3.02461443
776	3.021412728
777	3.019746108
778	3.018764045
779	3.018452541
780	3.018272157
781	3.017152749
782	3.016998898
783	3.01416394
784	3.011753522
785	3.011274639
786	3.010881106
787	3.009033266
788	3.008051937
789	3.007402786
790	3.005320643
791	3.005231865
792	3.001976553
793	3.001120495
794	2.999376338
795	2.998453311
796	2.996990702
797	2.995519791
798	2.994723092
799	2.993519754
800	2.992888758
801	2.991198829
802	2.988138075
803	2.985253723
804	2.983228826
805	2.982660555
806	2.981559172
807	2.981153849
808	2.980189169
809	2.978896532
810	2.978026123
811	2.975290118
812	2.97490312
813	2.971211834
814	2.971173966
815	2.970827203
816	2.969457975
817	2.968405068
818	2.967317156
819	2.965675525
820	2.963812019
821	2.96152609
822	2.961351375
823	2.961182754
824	2.958969609
825	2.957174394
826	2.956281471
827	2.954690335
828	2.953877073
829	2.952359725
830	2.952229302
831	2.951626668
832	2.950424935
833	2.949560927
834	2.948544617
835	2.947513434
836	2.946182815
837	2.945976414
838	2.944573286
839	2.944431841
840	2.94203058
841	2.94145425
842	2.940554819
843	2.939414606
844	2.937107853
845	2.936085166
846	2.933439197
847	2.930151225
848	2.928166886
849	2.924320997
850	2.921174658
851	2.919617908
852	2.918800049
853	2.916931994
854	2.915079695
855	2.913723898
856	2.913423978
857	2.910824972
858	2.908397582
859	2.908221016
860	2.908151399
861	2.907017896
862	2.906289411
863	2.905445827
864	2.904612492
865	2.902710032
866	2.901981927
867	2.901148351
868	2.899868474
869	2.898342425
870	2.897512868
871	2.895921381
872	2.893730636
873	2.893582084
874	2.891887633
875	2.889616318
876	2.886475106
877	2.885033426
878	2.881939117
879	2.881116745
880	2.878437823
881	2.875622933
882	2.874670287
883	2.874079278
884	2.873928514
885	2.87240764
886	2.87130895
887	2.870512789
888	2.869110034
889	2.868395364
890	2.86735678
891	2.865714959
892	2.863681839
893	2.862344594
894	2.860954443
895	2.859581681
896	2.858694062
897	2.857348163
898	2.854505978
899	2.853034573
900	2.852323311
901	2.850451325
902	2.850393177
903	2.849521225
904	2.848075132
905	2.847124718
906	2.844133905
907	2.843176119
908	2.840033154
909	2.837059821
910	2.835358943
911	2.83305968
912	2.829653997
913	2.82827261
914	2.827361036
915	2.827038824
916	2.824980485
917	2.822957217
918	2.821607201
919	2.819405779
920	2.81645881
921	2.814089639
922	2.812220771
923	2.812076378
924	2.810463536
925	2.808706732
926	2.808450939
927	2.806566183
928	2.804562414
929	2.802982691
930	2.802835092
931	2.802064959
932	2.800156003
933	2.797516136
934	2.796150528
935	2.796082075
936	2.795358549
937	2.793904687
938	2.792708993
939	2.792221748
940	2.790317438
941	2.78917382
942	2.788485972
943	2.787726758
944	2.787694266
945	2.785252421
946	2.784105501
947	2.783428227
948	2.782901044
949	2.780080979
950	2.778245063
951	2.776885739
952	2.775453338
953	2.774469385
954	2.773546577
955	2.773164876
956	2.771041738
957	2.76830721
958	2.766465455
959	2.766335743
960	2.764981221
961	2.761844013
962	2.760385149
963	2.75872565
964	2.75748647
965	2.756099648
966	2.755664402
967	2.754476299
968	2.753718329
969	2.75208192
970	2.750749307
971	2.749917989
972	2.749848319
973	2.747803251
974	2.746766535
975	2.74580965
976	2.742769345
977	2.740953244
978	2.738555751
979	2.737036659
980	2.736764573
981	2.735662475
982	2.734223622
983	2.731653213
984	2.73079479
985	2.729938321
986	2.729187565
987	2.727058514
988	2.725350657
989	2.724364145
990	2.722520898
991	2.722093468
992	2.720087606
993	2.719262618
994	2.718510959
995	2.718295466
996	2.716477826
997	2.716069267
998	2.715237354
999	2.713266586
